Inclination_ref,Orientation_ref,M7,M8
5,120,-0.022674153728020886,-0.13046826299456696
5,120,-0.019654129024288716,-0.1289822190927305
5,120,-0.01788046372209681,-0.12736834345740272
5,120,-0.014764565218246158,-0.12559467815521083
5,120,-0.012175972615047156,-0.12465191912071241
5,120,-0.009555422078475326,-0.12372513905290043
5,120,-0.007318366742377424,-0.12311793831881672
5,120,-0.005576659373558343,-0.12297412761863899
5,120,-0.003771036137993607,-0.12284629588514769
5,120,-0.0021891184360386617,-0.12281433795177485
5,120,-0.001134506634735365,-0.12263856931822431
5,120,-0.0004793690005924077,-0.12268650621828354
5,120,-0.00012783173349130872,-0.12287825381852051
5,120,0.00011185276680489513,-0.12291021175189333
5,120,0.0001438107001777223,-0.12262259035153789
5,120,0.0001438107001777223,-0.12273444311834279
5,120,0.0001597896668641359,-0.12289423278520692
5,120,0.00019174760023696308,-0.12292619071857976
5,120,0.00019174760023696308,-0.1228622748518341
5,120,0.00020772656692337666,-0.12278238001840203
5,120,0.00023968450029620384,-0.12270248518496996
5,120,0.0003195793337282718,-0.1228622748518341
5,120,0.00025566346698261745,-0.12284629588514769
5,120,0.0004154531338467533,-0.12297412761863899
5,120,0.0003675162337875126,-0.1228622748518341
5,120,0.00019174760023696308,-0.12271846415165637
5,120,0.00023968450029620384,-0.12259063241816506
5,120,0.0001438107001777223,-0.12259063241816506
5,120,0.00019174760023696308,-0.12283031691846127
5,120,1.597896668641359e-05,-0.12283031691846127
5,120,-1.597896668641359e-05,-0.12281433795177485
5,120,6.391586674565436e-05,-0.1228622748518341
5,120,1.597896668641359e-05,-0.12281433795177485
5,120,1.597896668641359e-05,-0.12260661138485147
5,120,-9.587380011848154e-05,-0.12268650621828354
5,120,-0.0001438107001777223,-0.12287825381852051
5,120,3.195793337282718e-05,-0.12297412761863899
5,120,-0.00012783173349130872,-0.12278238001840203
5,120,3.195793337282718e-05,-0.12276640105171562
5,120,-0.00011185276680489513,-0.12291021175189333
5,120,-0.00012783173349130872,-0.12300608555201181
5,120,-3.195793337282718e-05,-0.1227504220850292
5,120,0.0,-0.12279835898508844
5,120,1.597896668641359e-05,-0.12260661138485147
5,120,-9.587380011848154e-05,-0.12273444311834279
5,120,-4.793690005924077e-05,-0.12287825381852051
5,120,-0.00011185276680489513,-0.12291021175189333
5,120,-6.391586674565436e-05,-0.12278238001840203
5,120,0.0,-0.12279835898508844
5,120,-9.587380011848154e-05,-0.12279835898508844
5,120,-9.587380011848154e-05,-0.12291021175189333
5,120,0.0,-0.12271846415165637
5,120,-9.587380011848154e-05,-0.12262259035153789
5,120,-9.587380011848154e-05,-0.12265454828491072
5,120,4.793690005924077e-05,-0.12287825381852051
5,120,-6.391586674565436e-05,-0.12287825381852051
5,120,-6.391586674565436e-05,-0.12289423278520692
5,120,-9.587380011848154e-05,-0.12283031691846127
5,120,9.587380011848154e-05,-0.12268650621828354
5,120,-4.793690005924077e-05,-0.12297412761863899
5,120,-4.793690005924077e-05,-0.12270248518496996
5,120,-6.391586674565436e-05,-0.12279835898508844
5,120,9.587380011848154e-05,-0.12267052725159713
5,120,-4.793690005924077e-05,-0.12273444311834279
5,120,1.597896668641359e-05,-0.12294216968526617
5,120,0.0,-0.12291021175189333
5,120,-3.195793337282718e-05,-0.12273444311834279
5,120,-4.793690005924077e-05,-0.12271846415165637
5,120,0.00012783173349130872,-0.12287825381852051
5,120,0.00011185276680489513,-0.12287825381852051
5,120,-1.597896668641359e-05,-0.12281433795177485
5,120,-1.597896668641359e-05,-0.12287825381852051
5,120,-6.391586674565436e-05,-0.1228622748518341
5,120,-4.793690005924077e-05,-0.12278238001840203
5,120,-6.391586674565436e-05,-0.12267052725159713
5,120,4.793690005924077e-05,-0.12262259035153789
5,120,7.989483343206795e-05,-0.12260661138485147
5,120,0.0,-0.12276640105171562
5,120,9.587380011848154e-05,-0.12292619071857976
5,120,6.391586674565436e-05,-0.12295814865195258
5,120,-7.989483343206795e-05,-0.12281433795177485
5,120,7.989483343206795e-05,-0.12279835898508844
5,120,4.793690005924077e-05,-0.12268650621828354
5,120,7.989483343206795e-05,-0.12262259035153789
5,120,-6.391586674565436e-05,-0.12267052725159713
5,120,6.391586674565436e-05,-0.12268650621828354
5,120,-6.391586674565436e-05,-0.12292619071857976
5,120,-4.793690005924077e-05,-0.1228622748518341
5,120,7.989483343206795e-05,-0.12278238001840203
5,120,-1.597896668641359e-05,-0.12262259035153789
5,120,6.391586674565436e-05,-0.1228622748518341
5,120,-7.989483343206795e-05,-0.12278238001840203
5,120,3.195793337282718e-05,-0.1228622748518341
5,120,-4.793690005924077e-05,-0.12294216968526617
5,120,-7.989483343206795e-05,-0.12278238001840203
5,120,7.989483343206795e-05,-0.12276640105171562
5,130,-3.195793337282718e-05,-0.1227504220850292
5,130,0.00019174760023696308,-0.1222710530844368
5,130,0.0007989483343206795,-0.12182364201721721
5,130,0.0028762140035544464,-0.11979431324804268
5,130,0.005832322840540961,-0.11806858484591001
5,130,0.008341020610307894,-0.11591142434324418
5,130,0.01156877188096344,-0.11362643210708703
5,130,0.014652712451441263,-0.11151720850448045
5,130,0.017656758188487016,-0.11019095426950812
5,130,0.01949433935742458,-0.10932809006844178
5,130,0.021108214992752353,-0.1087688262344173
5,130,0.02265817476133447,-0.10857707863418034
5,130,0.02372876552932418,-0.10865697346761241
5,130,0.024335966263407897,-0.10857707863418034
5,130,0.024687503530508997,-0.10867295243429882
5,130,0.024735440430568238,-0.10862501553423959
5,130,0.02475141939725465,-0.10868893140098525
5,130,0.02475141939725465,-0.10859305760086677
5,130,0.02475141939725465,-0.108640994500926
5,130,0.02475141939725465,-0.10872088933435807
5,130,0.024767398363941064,-0.1085291417341211
5,130,0.024767398363941064,-0.10844924690068904
5,130,0.024767398363941064,-0.10859305760086677
5,130,0.024767398363941064,-0.10868893140098525
5,130,0.02478337733062748,-0.10857707863418034
5,130,0.024767398363941064,-0.1085291417341211
5,130,0.024767398363941064,-0.10860903656755318
5,130,0.024767398363941064,-0.1087688262344173
5,130,0.024767398363941064,-0.10867295243429882
5,130,0.024767398363941064,-0.1085291417341211
5,130,0.024767398363941064,-0.10870491036767166
5,130,0.024767398363941064,-0.10859305760086677
5,130,0.02475141939725465,-0.1085131627674347
5,130,0.024735440430568238,-0.10856109966749393
5,130,0.024735440430568238,-0.10862501553423959
5,130,0.024735440430568238,-0.1085131627674347
5,130,0.024735440430568238,-0.10857707863418034
5,130,0.024719461463881823,-0.10870491036767166
5,130,0.024719461463881823,-0.10865697346761241
5,130,0.024719461463881823,-0.10856109966749393
5,130,0.024719461463881823,-0.10856109966749393
5,130,0.024719461463881823,-0.10872088933435807
5,130,0.024719461463881823,-0.10859305760086677
5,130,0.024719461463881823,-0.1085291417341211
5,130,0.024719461463881823,-0.10872088933435807
5,130,0.024719461463881823,-0.10862501553423959
5,130,0.024703482497195412,-0.1085291417341211
5,130,0.024703482497195412,-0.1087688262344173
5,130,0.024703482497195412,-0.10873686830104448
5,130,0.024703482497195412,-0.10854512070080752
5,130,0.024703482497195412,-0.10857707863418034
5,130,0.024703482497195412,-0.10868893140098525
5,130,0.024703482497195412,-0.1085131627674347
5,130,0.024703482497195412,-0.10873686830104448
5,130,0.024703482497195412,-0.10857707863418034
5,130,0.024687503530508997,-0.1085131627674347
5,130,0.024687503530508997,-0.10867295243429882
5,130,0.024687503530508997,-0.10862501553423959
5,130,0.024671524563822583,-0.10848120483406186
5,130,0.024671524563822583,-0.10870491036767166
