Inclination_ref,Orientation_ref,M7,M8
-0.08726646259971647,-5.343529704782749e-18,-0.07093063312098993,-0.14202105590884398
-0.08726646259971647,-5.343529704782749e-18,-0.07083475932087145,-0.1417813714085478
-0.08726646259971647,-5.343529704782749e-18,-0.07096259105436276,-0.14182930830860702
-0.08726646259971647,-5.343529704782749e-18,-0.07081878035418503,-0.14186126624197987
-0.08726646259971647,-5.343529704782749e-18,-0.07096259105436276,-0.14170147657511573
-0.08726646259971647,-5.343529704782749e-18,-0.07083475932087145,-0.1417813714085478
-0.08726646259971647,-5.343529704782749e-18,-0.07096259105436276,-0.1419092031420391
-0.08726646259971647,-5.343529704782749e-18,-0.07088269622093069,-0.14181332934192062
-0.08726646259971647,-5.343529704782749e-18,-0.07093063312098993,-0.14171745554180212
-0.08726646259971647,-5.343529704782749e-18,-0.0708986751876171,-0.1419092031420391
-0.08594068894615067,0.015153662201880094,-0.07081878035418503,-0.14158962380831083
-0.08594068894615067,0.015153662201880094,-0.0698440633863138,-0.14090252824079505
-0.08594068894615067,0.015153662201880094,-0.06875749365163768,-0.14042315924020263
-0.08594068894615067,0.015153662201880094,-0.06755907115015666,-0.13989585333955099
-0.08594068894615067,0.015153662201880094,-0.06591323758145606,-0.1396721478059412
-0.08594068894615067,0.015153662201880094,-0.06413957227926415,-0.13981595850611891
-0.08594068894615067,0.015153662201880094,-0.061614895542810806,-0.13972008470600042
-0.08594068894615067,0.015153662201880094,-0.05904228190629822,-0.13959225297250913
-0.08594068894615067,0.015153662201880094,-0.05661347896996335,-0.13964018987256838
-0.08594068894615067,0.015153662201880094,-0.05456817123410241,-0.1397840005727461
-0.08594068894615067,0.015153662201880094,-0.052586779364987124,-0.1397999795394325
-0.08594068894615067,0.015153662201880094,-0.05118063029658273,-0.13965616883925477
-0.08594068894615067,0.015153662201880094,-0.04993427089504247,-0.13965616883925477
-0.08594068894615067,0.015153662201880094,-0.04919923842746744,-0.1395762740058227
-0.08594068894615067,0.015153662201880094,-0.04865595356012938,-0.13959225297250913
-0.08594068894615067,0.015153662201880094,-0.04848018492657883,-0.1395762740058227
-0.08594068894615067,0.015153662201880094,-0.04844822699320601,-0.13959225297250913
-0.08594068894615067,0.015153662201880094,-0.04863997459344297,-0.1395762740058227
-0.08594068894615067,0.015153662201880094,-0.04865595356012938,-0.1396721478059412
-0.08594068894615067,0.015153662201880094,-0.04836833215977394,-0.13964018987256838
-0.08594068894615067,0.015153662201880094,-0.04816060559285056,-0.13962421090588195
-0.08594068894615067,0.015153662201880094,-0.04862399562675655,-0.13960823193919553
-0.08594068894615067,0.015153662201880094,-0.04857605872669731,-0.13975204263937327
-0.08594068894615067,0.015153662201880094,-0.04878378529362069,-0.13959225297250913
-0.08594068894615067,0.015153662201880094,-0.048815743226993516,-0.1397999795394325
