inclination_ref,orientation_ref,pitch_ref,yaw_ref,M7,M8
5,90,-0.08726646259971647,-5.343529704782749e-18,-0.0708986751876171,-0.12671320582325976
5,90,-0.08726646259971647,-5.343529704782749e-18,-0.07091465415430351,-0.12917396669296746
5,90,-0.08726646259971647,-5.343529704782749e-18,-0.07085073828755786,-0.1315548327292431
5,90,-0.08726646259971647,-5.343529704782749e-18,-0.07097857002104917,-0.1341594042991285
5,90,-0.08726646259971647,-5.343529704782749e-18,-0.07080280138749862,-0.1359330696013204
5,90,-0.08726646259971647,-5.343529704782749e-18,-0.07085073828755786,-0.13785054560369003
5,90,-0.08726646259971647,-5.343529704782749e-18,-0.07099454898773558,-0.13927267363878085
5,90,-0.08726646259971647,-5.343529704782749e-18,-0.07088269622093069,-0.1402633695733385
5,90,-0.08726646259971647,-5.343529704782749e-18,-0.07097857002104917,-0.14112623377440484
5,90,-0.08726646259971647,-5.343529704782749e-18,-0.0708986751876171,-0.14173343450848855
5,90,-0.08726646259971647,-5.343529704782749e-18,-0.07088269622093069,-0.14184528727529344
5,90,-0.08726646259971647,-5.343529704782749e-18,-0.07093063312098993,-0.14181332934192062
5,90,-0.08726646259971647,-5.343529704782749e-18,-0.07086671725424427,-0.14186126624197987
5,90,-0.08726646259971647,-5.343529704782749e-18,-0.07091465415430351,-0.14176539244186137
5,90,-0.08726646259971647,-5.343529704782749e-18,-0.07085073828755786,-0.14187724520866626
5,90,-0.08726646259971647,-5.343529704782749e-18,-0.07097857002104917,-0.14176539244186137
5,90,-0.08726646259971647,-5.343529704782749e-18,-0.07094661208767634,-0.14186126624197987
5,90,-0.08726646259971647,-5.343529704782749e-18,-0.07093063312098993,-0.1418932241753527
5,90,-0.08726646259971647,-5.343529704782749e-18,-0.07093063312098993,-0.14171745554180212
5,90,-0.08726646259971647,-5.343529704782749e-18,-0.07088269622093069,-0.1419251821087255
5,90,-0.08726646259971647,-5.343529704782749e-18,-0.0708986751876171,-0.1417813714085478
5,90,-0.08726646259971647,-5.343529704782749e-18,-0.07086671725424427,-0.1419092031420391
5,90,-0.08726646259971647,-5.343529704782749e-18,-0.07099454898773558,-0.14176539244186137
5,90,-0.08726646259971647,-5.343529704782749e-18,-0.07088269622093069,-0.14186126624197987
